,property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_category,floor_category
57,house,sector 67,8.0,6,7,3+,Moderately Old,3600.0,1,1,0,1,0,1,LOW,High Floor
58,house,sector 70a,4.02,4,4,3+,Relatively New,5500.0,1,1,1,1,0,0,MODERATE,Mid Floor
59,house,sector 26,4.5,3,3,2,Moderately Old,1350.0,1,1,0,0,0,0,MODERATE,Low Floor
60,house,sector 76,1.75,4,4,0,Moderately Old,3111.0,0,0,0,0,0,0,LOW,High Floor
61,house,sector 43,5.5,8,7,3+,Moderately Old,2850.0,1,1,0,1,1,1,MODERATE,Mid Floor
62,house,sector 14,4.5,5,5,1,Relatively New,2778.0,0,0,0,0,0,0,LOW,Low Floor
63,flat,sector 84,1.48,3,3,2,New Property,1624.0,0,1,1,0,0,1,MODERATE,Low Floor
64,flat,sector 107,0.9,2,2,3+,New Property,1236.0,0,0,0,0,0,0,MODERATE,High Floor
65,flat,sector 45,2.4,3,3,2,New Property,195.0,0,1,0,0,0,1,LOW,Low Floor
66,flat,sector 85,2.14,4,4,3,Relatively New,2300.0,1,1,0,1,0,0,LOW,Mid Floor
67,flat,sector 107,0.35,2,2,2,Relatively New,608.0,0,0,0,0,0,0,LOW,Mid Floor
68,house,sector 7,1.95,2,2,2,Old Property,1440.0,0,0,0,0,0,0,LOW,Low Floor
69,house,sector 89,1.25,3,3,2,New Property,1423.0,1,0,0,0,1,0,LOW,Low Floor
70,house,sector 26,7.0,5,5,2,Relatively New,1783.0,0,1,0,0,0,0,LOW,Mid Floor
71,flat,sector 95,0.25,1,1,1,New Property,344.0,0,0,0,0,0,0,LOW,Mid Floor
72,flat,sector 70,1.0,3,2,2,Moderately Old,1078.0,0,0,0,0,0,0,MODERATE,Mid Floor
73,flat,sector 43,6.0,4,4,3+,Old Property,2556.0,0,1,0,0,0,1,HIGH,High Floor
74,flat,sector 78,0.62,2,2,1,Moderately Old,1115.0,0,0,1,0,0,0,MODERATE,Mid Floor
75,house,sector 45,16.0,6,7,3+,Relatively New,4500.0,1,1,1,1,0,1,MODERATE,Mid Floor
76,flat,sector 56,2.05,4,4,3+,Moderately Old,2667.0,0,0,0,0,0,1,LOW,Mid Floor
77,flat,sector 37d,0.65,2,2,3,New Property,625.0,0,0,0,0,0,0,LOW,Low Floor
78,flat,sector 67,2.95,3,3,3,Relatively New,2150.0,0,1,0,0,0,1,HIGH,Mid Floor
79,house,dwarka expressway,0.85,1,5,3+,New Property,600.0,0,0,0,0,0,0,LOW,Mid Floor
80,flat,sector 81,2.3,3,3,3+,Relatively New,1617.0,1,1,0,1,1,2,LOW,High Floor
81,house,sector 43,11.0,5,6,3+,New Property,4050.0,0,1,0,1,0,1,HIGH,Mid Floor
82,flat,sector 70a,1.51,3,3,3,Relatively New,1788.0,0,1,0,0,0,0,LOW,Mid Floor
83,flat,sector 82,1.38,4,5,3+,Relatively New,2294.0,0,1,0,0,0,0,MODERATE,High Floor
84,flat,sector 65,5.4,3,4,3,Moderately Old,2696.0,1,1,0,0,0,1,HIGH,High Floor
85,flat,sector 33,1.45,3,2,3,New Property,1512.0,0,0,0,0,0,0,LOW,Mid Floor
86,house,sector 70a,1.18,3,3,3+,Relatively New,1611.0,0,0,0,0,1,1,HIGH,Low Floor
87,flat,sector 65,2.85,4,4,3,Relatively New,1975.0,1,1,0,0,0,0,LOW,Low Floor
88,flat,sector 33,1.2,2,2,3,New Property,86.0,0,0,0,0,0,0,MODERATE,Low Floor
89,flat,sector 50,6.75,4,4,0,Moderately Old,3395.0,0,0,0,0,0,0,LOW,Mid Floor
90,flat,sector 89,0.95,2,2,2,New Property,1226.0,1,1,0,0,0,0,LOW,Mid Floor
91,flat,sector 85,2.2,4,6,3,Relatively New,3920.0,0,1,0,0,0,0,HIGH,Mid Floor
